UrunAdi;CozunurlukBilgisi;Fiyat;EkranBoyutu;YenilemeHizi;EkranTeknolojisi;TeknikPuan;Sablon
"AOC G2590VXQ";"1920x1080 piksel / FHD";"";"24.5 İnç";"75 Hz";"TN";"49";"AOC G2590VXQ (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 49'dir."
"AOC I2369VM";"1920x1080 piksel / FHD";"";"23 İnç";"60 Hz";"IPS";"49";"AOC I2369VM (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Samsung LS24D300GAUXUF (S24D300G)";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"49";"Samsung LS24D300GAUXUF (S24D300G) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Lenovo ThinkVision S24e-10";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"VA";"49";"Lenovo ThinkVision S24e-10 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Philips 241V8L/01";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"VA";"49";"Philips 241V8L/01 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Philips 241V8L/00";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"VA";"49";"Philips 241V8L/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"ViewSonic VX3216-scmh-W-2";"1920x1080 piksel / FHD";"";"31.5 İnç";"75 Hz";"VA";"49";"ViewSonic VX3216-scmh-W-2 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"ViewSonic VX3216-scmh-W";"1920x1080 piksel / FHD";"";"31.5 İnç";"75 Hz";"VA";"49";"ViewSonic VX3216-scmh-W (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"LG 22MR410-B";"1920x1080 piksel / FHD";"";"21.45 İnç";"100 Hz";"VA";"49";"LG 22MR410-B (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.45 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Dell E2723HN";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"Dell E2723HN (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Asus VZ27VQ";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"VA";"49";"Asus VZ27VQ (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Dell SE2422H";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"VA";"49";"Dell SE2422H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"HP V27e (28N20AA)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"HP V27e (28N20AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"HP P27v G4 (9TT20AS)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"HP P27v G4 (9TT20AS) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"HP V27i (9SV94AA)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"HP V27i (9SV94AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"HP P224 (5QG34AA)";"1920x1080 piksel / FHD";"";"21.5 İnç";"60 Hz";"IPS";"49";"HP P224 (5QG34AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"NPC MF2408-A";"1920x1080 piksel / FHD";"";"23.8 İnç";"120 Hz";"IPS";"49";"NPC MF2408-A (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"HP 524sa (94C36E9)";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"49";"HP 524sa (94C36E9) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Koorui P02";"1920x1080 piksel / FHD";"";"23.8 İnç";"100 Hz";"IPS";"49";"Koorui P02 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Dell Pro E2225HM";"1920x1080 piksel / FHD";"";"21.5 İnç";"100 Hz";"VA";"49";"Dell Pro E2225HM (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"HP V24v G5 (65P62E9)";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"VA";"49";"HP V24v G5 (65P62E9) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Asus MB16AC";"1920x1080 piksel / FHD";"";"15.6 İnç";"60 Hz";"IPS";"49";"Asus MB16AC (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 15.6 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Philips 221V8A/01";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"Philips 221V8A/01 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"HP V270 (3PL17AA)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"HP V270 (3PL17AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"MSI Pro MP242";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"IPS";"49";"MSI Pro MP242 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Lenovo ThinkVision X24-20";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"IPS";"49";"Lenovo ThinkVision X24-20 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"ViewSonic VX2457-mhd";"1920x1080 piksel / FHD";"";"24 İnç";"75 Hz";"TN";"49";"ViewSonic VX2457-mhd (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 49'dir."
"Samsung LS22F320GAUXUF (S22F320G)";"1920x1080 piksel / FHD";"";"21.5 İnç";"120 Hz";"IPS";"49";"Samsung LS22F320GAUXUF (S22F320G) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 120 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Acer ET271bi";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"Acer ET271bi (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Asus VZ249Q";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"IPS";"49";"Asus VZ249Q (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"ViewSonic VA2201-H";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"ViewSonic VA2201-H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"HP 27y (2YV11AA)";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"HP 27y (2YV11AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Gameon GO22FHD75VA";"1920x1080 piksel / FHD";"";"21.45 İnç";"75 Hz";"VA";"49";"Gameon GO22FHD75VA (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.45 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Lenovo L22e-30";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"Lenovo L22e-30 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Lenovo ThinkVision S22e-20";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"Lenovo ThinkVision S22e-20 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Asus VP248QG";"";"";"24 İnç";"75 Hz";"TN";"49";"Asus VP248QG model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 49'dir."
"Everest M555";"1920x1080 piksel / FHD";"";"23.6 İnç";"75 Hz";"VA";"49";"Everest M555 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.6 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Philips 243S5LHMB/00";"1920x1080 piksel / FHD";"";"23.6 İnç";"60 Hz";"TN";"49";"Philips 243S5LHMB/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.6 İnç, yenileme hızı 60 Hz, ekran teknolojisi TN ve teknik puanı 49'dir."
"Dahua LM27-A200";"1920x1080 piksel / FHD";"";"27 İnç";"100 Hz";"VA";"49";"Dahua LM27-A200 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Dell P1424H";"1920x1080 piksel / FHD";"";"14 İnç";"60 Hz";"IPS";"49";"Dell P1424H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 14 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"AOC M2060PWQ";"1920x1080 piksel / FHD";"";"19.5 İnç";"60 Hz";"VA";"49";"AOC M2060PWQ (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 19.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"ViewSonic VX2276-smhd";"1920x1080 piksel / FHD";"";"21.5 İnç";"60 Hz";"IPS";"49";"ViewSonic VX2276-smhd (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Iiyama ProLite T2252MSC-B1";"1920x1080 piksel / FHD";"";"21.5 İnç";"60 Hz";"IPS";"49";"Iiyama ProLite T2252MSC-B1 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"HP M22f (2D9J9AA)";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"IPS";"49";"HP M22f (2D9J9AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Samsung LS24D366GAUXUF (S24D366)";"1920x1080 piksel / FHD";"";"23.5 İnç";"100 Hz";"VA";"49";"Samsung LS24D366GAUXUF (S24D366) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.5 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Dell E2720H";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"Dell E2720H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"ViewSonic VA2719-SH";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"ViewSonic VA2719-SH (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Acer T232HLabmjjz";"1920x1080 piksel / FHD";"";"23 İnç";"60 Hz";"IPS";"49";"Acer T232HLabmjjz (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Philips 276E7QDSW/00";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"PLS";"49";"Philips 276E7QDSW/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi PLS ve teknik puanı 49'dir."
"Asus BE209QLB";"1440x900 piksel / HD+";"";"19.45 İnç";"60 Hz";"IPS";"49";"Asus BE209QLB (1440x900 piksel / HD+) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 19.45 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Acer SA230Abi";"1920x1080 piksel / FHD";"";"23 İnç";"75 Hz";"IPS";"49";"Acer SA230Abi (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Philips 221V8LD/01";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"Philips 221V8LD/01 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"Philips 221V8LD/00";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"49";"Philips 221V8LD/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 49'dir."
"AOC I2269VWM";"1920x1080 piksel / FHD";"";"21.5 İnç";"60 Hz";"IPS";"49";"AOC I2269VWM (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Asus VZ239Q";"1920x1080 piksel / FHD";"";"23 İnç";"60 Hz";"IPS";"49";"Asus VZ239Q (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"AOC P270SH";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"49";"AOC P270SH (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 49'dir."
"Asus VP249HR";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"IPS";"48";"Asus VP249HR (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"HP 22fw (3KS60AA)";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"IPS";"48";"HP 22fw (3KS60AA) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Dell C1422H";"1920x1080 piksel / FHD";"";"14 İnç";"60 Hz";"IPS";"48";"Dell C1422H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 14 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Dell E2725H";"1920x1080 piksel / FHD";"";"27 İnç";"75 Hz";"VA";"48";"Dell E2725H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"Philips 273V7QDSB/01";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Philips 273V7QDSB/01 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Philips 273V7QDSB/00";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Philips 273V7QDSB/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Dell S2719H";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Dell S2719H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"AOC G2460VQ6";"1920x1080 piksel / FHD";"";"24 İnç";"75 Hz";"TN";"48";"AOC G2460VQ6 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 24 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 48'dir."
"Dell E2722H";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Dell E2722H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Acer EK241Ybix";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"IPS";"48";"Acer EK241Ybix (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Lenovo D24-20";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"VA";"48";"Lenovo D24-20 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"Asus VP247QG";"1920x1080 piksel / FHD";"";"23.6 İnç";"75 Hz";"TN";"48";"Asus VP247QG (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.6 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 48'dir."
"Iiyama G-Master G2230HS-B1";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"TN";"48";"Iiyama G-Master G2230HS-B1 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi TN ve teknik puanı 48'dir."
"Lenovo L22e-20";"1920x1080 piksel / FHD";"";"21.5 İnç";"60 Hz";"VA";"48";"Lenovo L22e-20 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 60 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"AOC I2475SXJ";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"IPS";"48";"AOC I2475SXJ (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Philips 274E5QHAW/00";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Philips 274E5QHAW/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Koorui E2212F";"1920x1080 piksel / FHD";"";"21.45 İnç";"100 Hz";"VA";"48";"Koorui E2212F (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.45 İnç, yenileme hızı 100 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"LG 24MP88HV-S";"1920x1080 piksel / FHD";"";"23.8 İnç";"60 Hz";"IPS";"48";"LG 24MP88HV-S (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Koorui 24N1";"1920x1080 piksel / FHD";"";"23.8 İnç";"75 Hz";"IPS";"48";"Koorui 24N1 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.8 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Philips 276E9QSB/00";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Philips 276E9QSB/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Philips 276E9QSB/01";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Philips 276E9QSB/01 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Dell SE2725H";"1920x1080 piksel / FHD";"";"27 İnç";"75 Hz";"VA";"48";"Dell SE2725H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"Asus VC279H-W";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Asus VC279H-W (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Asus VC279H";"1920x1080 piksel / FHD";"";"27 İnç";"60 Hz";"IPS";"48";"Asus VC279H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 27 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Dell P2217";"1680x1050 piksel / WSXGA+";"";"22 İnç";"60 Hz";"TN";"48";"Dell P2217 (1680x1050 piksel / WSXGA+) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 22 İnç, yenileme hızı 60 Hz, ekran teknolojisi TN ve teknik puanı 48'dir."
"Samsung LS22D300GAUXUF (S22D300G)";"1920x1080 piksel / FHD";"";"21.5 İnç";"100 Hz";"IPS";"48";"Samsung LS22D300GAUXUF (S22D300G) (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 100 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"ViewSonic VA1655";"1920x1080 piksel / FHD";"";"15.6 İnç";"60 Hz";"IPS";"48";"ViewSonic VA1655 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 15.6 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Philips 246E7QDAB/00";"1920x1080 piksel / FHD";"";"23.6 İnç";"60 Hz";"IPS";"48";"Philips 246E7QDAB/00 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23.6 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"ViewSonic VA2215-H";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"VA";"48";"ViewSonic VA2215-H (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi VA ve teknik puanı 48'dir."
"Iiyama ProLite XU2390HS-B1";"1920x1080 piksel / FHD";"";"23 İnç";"60 Hz";"IPS";"48";"Iiyama ProLite XU2390HS-B1 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 23 İnç, yenileme hızı 60 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"HP 22f (2XN58AA)";"";"";"21.5 İnç";"75 Hz";"IPS";"48";"HP 22f (2XN58AA) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
"Lenovo ThinkVision S22i-30";"1920x1080 piksel / FHD";"";"21.5 İnç";"75 Hz";"IPS";"48";"Lenovo ThinkVision S22i-30 (1920x1080 piksel / FHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 21.5 İnç, yenileme hızı 75 Hz, ekran teknolojisi IPS ve teknik puanı 48'dir."
